nr,call,startdate,enddate,qth
1,KA3X,20000921,20080824,PA
2,AG4CZ,20000922,,KY
3,K8YS,20000927,20140722,OH
4,CT4MS,20000927,,Portugal
5,W3ZJ,20001001,20170728,MD
6,KC1DI,20001012,,ME
7,DL2RR,20001012,20180716,Germany
8,W4LC,20001013,,KY
9,YO5CRQ,20001017,,Romania
10,N3DQU,20001027,,PA
11,N3OJV,20001028,20071129,PA
12,W5EC,20001028,,FL
13,VK2BFC,20001105,,Australia
14,K3CKO,20001106,,NY
15,KF4JWF,20001106,20150310,FL
16,W4YTC,20001108,,FL
17,W2AFD,20001112,20180702,NY
18,K5COX,20001113,,OK
19,KF8OR,20001122,,MI
20,K8NHR,20001127,,OH
21,W5SBH,20001128,,TX
22,K9EEI,20001207,,IL
23,W8FDV,20001218,,AZ
24,WA7OK,20001227,,WA
25,W3HF,20001224,,PA
26,N6YIH,20010101,,ID
27,DM5GI,20010104,,Germany
28,N3XC,20010105,,PA
29,N3KNZ,20010117,,PA
30,SV1ENS,20010118,,Attika, Greece
31,WM2U,20010122,,NY
32,AA8QQ,20010128,,OH
33,OK1AK,20010201,,Czech Republic
34,W9FIF,20010209,,IL
35,DL2AYL,20010212,20021217,Germany
36,KB1FOT,20010215,,MA
37,K5SIT,20010218,,OK
38,K8IJ,20010219,,KY
39,YL2FD,20010227,,Latvia
40,W2CZ,20010227,,NY
41,SM7WDS,20010303,,Sweden
42,KU4FP,20010303,20171210,VA
43,W0QL,20010303,,CO
44,K6SRZ,20010305,,CA
45,K0JAL,20010308,,CA
46,DL5CE,20010313,20060418,Germany
47,KA0VXK,20010313,,NE
48,W1SQL,20010313,,CT
49,MM0BSM,20010314,,Scotland
50,N1ZZZ,20010314,,PA
51,KF7R,20010316,,AZ
52,WU4O,20010319,,TN
53,DH1AKG,20010319,,Germany
54,VE3CT,20010321,20101117,Canada
55,WA5EOG,20010323,,TX
56,K3PSK,20010325,20050625,FL
57,LZ4BU,20010328,,Bulgaria
58,N8PSK,20010330,,OH
59,N1EZO,20010403,,NJ
60,K6CEG,20010403,20020909,CA
61,ON4CAS,20010403,,Belgium
62,K9HKS,20010403,,IL
63,OH6IW,20010403,,Finland
64,OK1HBO,20010403,,Czech Republic
65,W4IHI,20010403,,FL
66,NH6K,20010410,,HI
67,W8EWH,20010410,,MI
68,KB5XG,20010410,,OK
69,KC0DEB,20010423,,KS
70,K0BZV,20010424,20090630,FL
71,AG2A,20010424,,NY
72,PA0WCH,20010424,,Netherlands
73,G4TGK,20010424,,UK
74,PY5XT,20010425,,Brazil
75,K8HF,20010427,,OH
76,KG6AZV,20010427,,CA
77,NY2U,20010427,20110928,NY
78,OE1WEU,20010508,,Austria
79,K2LAM,20010508,,NY
80,K2IBH,20010508,20051015,NJ
81,K2JF,20010508,,NJ
82,HA5BSW,20010508,,Hungary
83,TA7I,20010508,,Turkey
84,KQ6JQ,20010509,20090824,OR
85,KA3GMP,20010511,20061007,MD
86,KS2O,20010518,,NY
87,TA9J,20010523,,Turkey
88,KB1DZZ,20010523,,MA
89,DL2ARJ,20010523,,Germany
90,W4TMM,20010530,,FL
91,K6DF,20010530,,CA
92,N3UYI,20010602,,AL
93,N3RZU,20010607,,MD
